CODE1,CODE2,CORRELATION,DELAY
ELETRO12_CEETIND12,ABATE12_ABPESU12,0.938854846677068,2
ELETRO12_CEETT12,IGP12_IPAA12,0.938822086901658,-10
FUNCEX12_XQPAP2N12,IGP12_IGPF12,0.9387856400073884,-10
FUNCEX12_MDPT12,FUNCEX12_MPPLAS2N12,0.9387784977432888,-3
ELETRO12_CEEOUT12,FUNCEX12_MPMAD2N12,0.9387754421890164,-2
BM12_DINGFN12,ABATE12_ABQUSU12,0.9387659741631796,2
ABATE12_ABPESU12,ELETRO12_CEEOUT12,0.9387398971159376,12
ELETRO12_CEET12,FUNCEX12_MPMAD2N12,0.9387335618740495,12
FUNCEX12_XPT12,BPAG12_BCM12,0.9386467271291484,1
FUNCEX12_XPT12,PAN12_MTV12,0.9386467271291484,1
FUNCEX12_MPPLAS2N12,FUNCEX12_XPM12,0.9386452542609371,-4
FUNCEX12_MVMAQEQU2N12,FUNCEX12_XPB12,0.9385570683674112,-2
FUNCEX12_XPM12,BPAG12_SERR12,0.9385541089237504,1
FUNCEX12_MPAGP2N12,FUNCEX12_MPQUIM2N12,0.938538337587694,4
FUNCEX12_MDPT12,FUNCEX12_MPPLAS2N12,0.9384233552679712,4
ELETRO12_CEETIND12,BM12_DINGFN12,0.9383469398610153,-1
ELETRO12_CEETIND12,ABATE12_ABPESU12,0.9383444506810832,-1
FUNCEX12_MPAL2N12,FUNCEX12_XPT12,0.9383432310525026,1
FUNCEX12_MVMAQEQU2N12,FUNCEX12_XPT12,0.9383334575758772,-3
ELETRO12_CEEOUT12,FUNCEX12_MPMAD2N12,0.9383232264658812,-6
FUNCEX12_MVTEXT2N12,FUNCEX12_XPM12,0.9382961707609792,2
FUNCEX12_MVTEXT2N12,FUNCEX12_XPM12,0.9382606654105664,1
FUNCEX12_MPCAL2N12,BPAG12_SEROUTROSD12,0.9382605997992972,-9
FUNCEX12_MDPT12,FUNCEX12_MPBEB2N12,0.9382434017856092,3
ELETRO12_CEET12,FUNCEX12_XQFARM2N12,0.9382364304124874,-7
ELETRO12_CEET12,FUNCEX12_MPMAD2N12,0.9382197921719814,-5
BM12_DINGFN12,ABATE12_ABQUSU12,0.9381441886370046,-2
ELETRO12_CEET12,FUNCEX12_MPMAD2N12,0.938133571067404,11
FUNCEX12_MPAGP2N12,FUNCEX12_MPQUIM2N12,0.9381220294050158,2
FUNCEX12_XPB12,BPAG12_SERTRANSD12,0.9380839903547932,2
FUNCEX12_XQPAP2N12,IGP12_IGPOG12,0.9380644936717532,-9
FUNCEX12_MVMAQINF2N12,FUNCEX12_XPM12,0.9380422549077038,1
ABATE12_ABQUSU12,ELETRO12_CEERES12,0.9379755469192892,-9
ELETRO12_CEET12,FUNCEX12_XQFARM2N12,0.9379579583348784,-3
FUNCEX12_MPBEB2N12,FUNCEX12_XPM12,0.9379076236037382,-4
BM12_DINGFN12,ABATE12_ABQUSU12,0.9378939984442533,-1
FUNCEX12_MPPLAS2N12,FUNCEX12_XPS12,0.9378765038212616,-5
FUNCEX12_XQPAP2N12,IGP12_IPAI12,0.9378528989514028,-11
ELETRO12_CEEOUT12,FUNCEX12_MPMAD2N12,0.9377889345619786,-1
ABATE12_ABQUSU12,FUNCEX12_XQPAP2N12,0.9377836079587124,-5
FUNCEX12_MVTEXT2N12,FUNCEX12_XPM12,0.9377813549053932,-1
FUNCEX12_MPBEB2N12,FUNCEX12_MPPLAS2N12,0.9377627009989612,-5
ELETRO12_CEEOUT12,FUNCEX12_MQPES2N12,0.9377418468687472,8
FUNCEX12_MPBEB2N12,FUNCEX12_XPM12,0.9377363145854144,-3
